"","ART_NUM","ART_START","ART_END","WORDS","DATE"
"201",201,11221,11288,711,18293
"202",202,11289,11347,485,18293
"203",203,11348,11389,450,18293
"204",204,11390,11446,582,18294
"205",205,11447,11508,667,18294
"206",206,11509,11593,1560,18294
"207",207,11594,11643,332,18294
"208",208,11644,11719,652,18294
"209",209,11720,11781,719,18295
"210",210,11782,11847,419,18295
"211",211,11848,11893,266,18295
"212",212,11894,11932,311,18297
"213",213,11933,11991,548,18298
"214",214,11992,12061,673,18298
"215",215,12062,12103,165,18298
"216",216,12104,12166,734,18298
"217",217,12167,12221,498,18298
"218",218,12222,12283,546,18298
"219",219,12284,12324,312,18298
"220",220,12325,12385,751,18299
"221",221,12386,12455,792,18299
"222",222,12456,12523,759,18299
"223",223,12524,12564,254,18299
"224",224,12565,12639,742,18299
"225",225,12640,12710,740,18299
"226",226,12711,12766,513,18299
"227",227,12767,12822,426,18299
"228",228,12823,12871,340,18300
"229",229,12872,12929,622,18300
"230",230,12930,12983,441,18300
"231",231,12984,13033,379,18300
"232",232,13034,13081,293,18300
"233",233,13082,13137,530,18300
"234",234,13138,13189,288,18300
"235",235,13190,13236,257,18300
"236",236,13237,13290,375,18300
"237",237,13291,13338,281,18301
"238",238,13339,13395,509,18301
"239",239,13396,13465,820,18301
"240",240,13466,13524,617,18301
"241",241,13525,13587,809,18302
"242",242,13588,13661,696,18302
"243",243,13662,13706,476,18303
"244",244,13707,13794,1430,18304
"245",245,13795,13857,792,18305
"246",246,13858,13915,579,18305
"247",247,13916,13973,566,18305
"248",248,13974,14039,816,18305
"249",249,14040,14089,365,18305
"250",250,14090,14205,937,18305
"251",251,14206,14244,82,18306
"252",252,14245,14302,567,18306
"253",253,14303,14360,570,18306
"254",254,14361,14408,269,18306
"255",255,14409,14470,503,18306
"256",256,14471,14528,583,18306
"257",257,14529,14578,416,18306
"258",258,14579,14635,414,18306
"259",259,14636,14689,428,18306
"260",260,14690,14744,568,18307
"261",261,14745,14797,406,18307
"262",262,14798,14852,487,18307
"263",263,14853,14905,462,18307
"264",264,14906,14960,483,18307
"265",265,14961,15007,478,18307
"266",266,15008,15067,675,18307
"267",267,15068,15113,287,18307
"268",268,15114,15153,176,18308
"269",269,15154,15208,491,18308
"270",270,15209,15265,626,18308
"271",271,15266,15321,406,18308
"272",272,15322,15379,493,18309
"273",273,15380,15448,528,18309
"274",274,15449,15504,438,18311
"275",275,15505,15547,258,18312
"276",276,15548,15598,425,18312
"277",277,15599,15654,438,18312
"278",278,15655,15719,492,18312
"279",279,15720,15785,584,18312
"280",280,15786,15833,379,18313
"281",281,15834,15886,488,18313
"282",282,15887,15925,129,18313
"283",283,15926,15966,260,18313
"284",284,15967,16030,561,18313
"285",285,16031,16096,501,18313
"286",286,16097,16154,413,18313
"287",287,16155,16208,385,18314
"288",288,16209,16292,1582,18314
"289",289,16293,16359,547,18314
"290",290,16360,16423,679,18314
"291",291,16424,16482,248,18314
"292",292,16483,16535,269,18314
"293",293,16536,16584,314,18314
"294",294,16585,16647,750,18314
"295",295,16648,16696,446,18314
"296",296,16697,16743,742,18314
"297",297,16744,16788,393,18315
"298",298,16789,16827,263,18315
"299",299,16828,16865,324,18315
"300",300,16866,16933,747,18315
"301",301,16934,16987,538,18315
"302",302,16988,17033,304,18316
"303",303,17034,17083,339,18316
"304",304,17084,17141,664,18316
"305",305,17142,17188,397,18316
"306",306,17189,17232,400,18316
"307",307,17233,17280,378,18316
"308",308,17281,17338,507,18317
"309",309,17339,17395,395,18317
"310",310,17396,17435,208,18318
"311",311,17436,17476,88,18319
"312",312,17477,17521,468,18319
"313",313,17522,17591,796,18319
"314",314,17592,17668,941,18320
"315",315,17669,17712,386,18320
"316",316,17713,17761,436,18320
"317",317,17762,17815,535,18320
"318",318,17816,17881,860,18320
"319",319,17882,17925,266,18322
"320",320,17926,17988,535,18322
"321",321,17989,18029,194,18322
"322",322,18030,18077,442,18322
"323",323,18078,18141,673,18322
"324",324,18142,18199,427,18322
"325",325,18200,18251,450,18322
"326",326,18252,18304,471,18322
"327",327,18305,18391,1360,18322
"328",328,18392,18457,856,18322
"329",329,18458,18545,975,18322
"330",330,18546,18596,425,18323
"331",331,18597,18638,280,18323
"332",332,18639,18709,889,18323
"333",333,18710,18759,553,18323
"334",334,18760,18789,72,18323
"335",335,18790,18859,788,18324
"336",336,18860,18897,310,18324
"337",337,18898,18961,725,18324
"338",338,18962,19012,242,18324
"339",339,19013,19086,918,18324
"340",340,19087,19132,228,18324
"341",341,19133,19176,118,18325
"342",342,19177,19236,378,18325
"343",343,19237,19312,780,18325
"344",344,19313,19374,894,18326
"345",345,19375,19434,499,18327
"346",346,19435,19496,558,18327
"347",347,19497,19542,313,18328
"348",348,19543,19589,515,18328
"349",349,19590,19651,435,18328
"350",350,19652,19707,454,18328
"351",351,19708,19753,389,18328
"352",352,19754,19809,368,18328
"353",353,19810,19859,440,18329
"354",354,19860,19913,705,18329
"355",355,19914,19972,631,18329
"356",356,19973,20034,706,18329
"357",357,20035,20082,308,18330
"358",358,20083,20139,734,18330
"359",359,20140,20203,704,18330
"360",360,20204,20258,477,18330
"361",361,20259,20320,455,18330
"362",362,20321,20378,352,18331
"363",363,20379,20424,290,18331
"364",364,20425,20484,547,18331
"365",365,20485,20558,967,18331
"366",366,20559,20598,174,18331
"367",367,20599,20658,547,18331
"368",368,20659,20702,297,18333
"369",369,20703,20780,915,18334
"370",370,20781,20831,445,18334
"371",371,20832,20886,413,18334
"372",372,20887,20933,293,18334
"373",373,20934,20963,45,18334
"374",374,20964,21018,439,18335
"375",375,21019,21060,351,18335
"376",376,21061,21121,466,18335
"377",377,21122,21176,397,18335
"378",378,21177,21217,429,18335
"379",379,21218,21259,316,18335
"380",380,21260,21321,550,18335
"381",381,21322,21381,691,18335
"382",382,21382,21425,307,18335
