,ART_NUM,ART_START,ART_END,WORDS,vader_score_neg,vader_score_neu,vader_score_pos,vader_score_compound
6660,6661,388700,388758,437,0.058,0.868,0.074,0.7906
13351,13352,809856,809917,759,0.034,0.857,0.108,0.9954
13988,13989,849429,849495,788,0.072,0.846,0.082,0.4721
16093,16094,977359,977428,768,0.046,0.906,0.048,-0.0463
12213,12214,741660,741726,449,0.049,0.812,0.139,0.9951
7173,7174,420912,420958,336,0.083,0.853,0.064,-0.8078
269,270,15209,15265,626,0.093,0.814,0.093,-0.8738
2450,2451,139122,139187,420,0.08,0.87,0.05,-0.9545
4144,4145,234973,235030,399,0.027,0.922,0.051,0.9186
11290,11291,684205,684274,609,0.036,0.887,0.077,0.9725
15477,15478,940366,940405,178,0.03,0.915,0.055,0.7506
4495,4496,257748,257815,749,0.044,0.846,0.111,0.9968
8379,8380,497557,497625,698,0.064,0.84,0.096,0.9731
20127,20128,1239490,1239550,434,0.063,0.83,0.107,0.979
8610,8611,512086,512159,626,0.021,0.865,0.114,0.9955
15329,15330,931256,931352,1029,0.106,0.827,0.067,-0.9955
13293,13294,806420,806468,469,0.082,0.862,0.056,-0.9388
14180,14181,861288,861374,935,0.09,0.805,0.105,0.8992
10246,10247,617819,617875,426,0.042,0.862,0.096,0.9681
11716,11717,710949,711034,1188,0.055,0.874,0.071,0.9617
15063,15064,914905,914961,559,0.034,0.922,0.043,0.3979
3463,3464,196465,196498,328,0.107,0.836,0.056,-0.9479
17168,17169,1043465,1043524,640,0.026,0.902,0.072,0.967
