"","X","ART_NUM","ART_START","ART_END","WORDS","vader_score_neg","vader_score_neu","vader_score_pos","vader_score_compound","DATE","Argentina","Bangladesh","Bahrain","Brazil","Bulgaria","Chile","China","Colombia","Czech Republic","Egypt","Estonia","Greece","Hungary","India","Indonesia","Iran","Israel","Jordan","Kazakhstan","Kenya","Lebanon","Malaysia","Mauritius","Mexico","Morocco","Malaysia.1","Nigeria","Oman","Pakistan","Peru","Philippines","Poland","Qatar","Romania","Russia","Slovakia","Slovenia","Saudi Arabia","South Africa","South Korea","Sri Lanka","Taiwan","Thailand","Tunisia","Turkey","Ukraine","United Arab Emirates","Venezuela","Vietnam"
"22",1175,1176,71863,71970,946,0.041,0.843,0.116,0.9983,18568,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",257,258,11285,11330,958,0.053,0.84,0.107,0.9929,18620,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"24",1166,1167,71180,71240,517,0.058,0.796,0.146,0.9971,18557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",677,678,40306,40328,231,0.02,0.874,0.106,0.9531,18317,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",1099,1100,63128,63160,838,0.046,0.853,0.101,0.9927,18493,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",997,998,59267,59293,232,0.013,0.928,0.06,0.8519,18397,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"28",195,196,8466,8489,328,0.013,0.905,0.081,0.9756,18445,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"29",791,792,50829,50843,69,0,0.949,0.051,0.4767,18578,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",151,152,6683,6700,108,0.018,0.921,0.061,0.6444,18348,0,0,0,6,0,2,8,0,5,0,0,0,6,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",6,7,239,275,734,0.076,0.826,0.099,0.894,18319,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",482,483,22084,22123,814,0.047,0.889,0.064,0.8645,18616,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,1
"33",943,944,57263,57291,212,0.01,0.912,0.078,0.9169,18367,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"34",690,691,40709,40741,877,0.064,0.83,0.106,0.9913,18334,0,0,0,6,0,2,8,0,5,0,0,0,6,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",235,236,10270,10309,813,0.138,0.768,0.094,-0.9889,18536,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0
"36",1026,1027,60205,60489,4423,0.041,0.846,0.113,0.9999,18425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",1114,1115,63771,63816,354,0.015,0.867,0.119,0.9924,18497,0,0,0,1,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"38",289,290,12688,12737,1430,0.044,0.879,0.078,0.9921,18443,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",546,547,25996,26056,2218,0.023,0.83,0.147,0.9998,18277,0,0,0,0,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"40",778,779,49356,49370,75,0.025,0.864,0.111,0.7964,18527,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",1100,1101,63161,63210,697,0.065,0.834,0.101,0.9748,18493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",154,155,6785,6814,327,0.072,0.867,0.061,-0.4588,18361,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",675,676,40252,40280,769,0.015,0.881,0.104,0.9951,18313,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"44",1181,1182,72302,72349,413,0.048,0.794,0.158,0.9951,18570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"45",743,744,47134,47513,4778,0.032,0.857,0.11,0.9999,18464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",875,876,54566,54608,1043,0.107,0.822,0.071,-0.987,18326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"47",945,946,57325,57369,1046,0.039,0.796,0.164,0.9991,18369,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"48",618,619,36199,36224,390,0.018,0.885,0.097,0.9765,18563,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"49",353,354,15657,15720,869,0.057,0.878,0.065,0.9204,18477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",720,721,41932,41966,274,0.032,0.892,0.077,0.8979,18354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"51",644,645,38931,39147,413,0,0.908,0.092,0.9869,18268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",418,419,18818,18879,776,0.053,0.867,0.08,0.9337,18300,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",1042,1043,61148,61178,369,0.083,0.885,0.032,-0.9584,18442,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
