,X,ART_NUM,ART_START,ART_END,WORDS,vader_score_neg,vader_score_neu,vader_score_pos,vader_score_compound,DATE,Argentina,Bangladesh,Bahrain,Brazil,Bulgaria,Chile,China,Colombia,Czech Republic,Egypt,Estonia,Greece,Hungary,India,Indonesia,Iran,Israel,Jordan,Kazakhstan,Kenya,Lebanon,Malaysia,Mauritius,Mexico,Morocco,Malaysia.1,Nigeria,Oman,Pakistan,Peru,Philippines,Poland,Qatar,Romania,Russia,Slovakia,Slovenia,Saudi Arabia,South Africa,South Korea,Sri Lanka,Taiwan,Thailand,Tunisia,Turkey,Ukraine,United Arab Emirates,Venezuela,Vietnam,China_score,India_score,
20,19,20,720,769,1669,0.033,0.904,0.063,0.9886,18348,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483974448320077,0,
21,20,21,770,827,1452,0.025,0.876,0.1,0.9986,18348,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0.314477442988778,0,
22,21,22,828,915,2266,0.029,0.882,0.089,0.9993,18348,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356873956755871,
23,22,23,916,937,243,0.079,0.854,0.067,-0.5277,18362,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.13540788313394,0,
24,23,24,938,963,480,0.053,0.885,0.063,0.4536,18362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,24,25,964,997,615,0.053,0.9,0.047,0.1783,18369,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575179994450659,0,
26,25,26,998,1031,615,0.053,0.9,0.047,0.1783,18369,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575179994450659,0,
27,26,27,1032,1079,1267,0.026,0.93,0.044,0.9097,18369,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.127785004209063,0,
28,27,28,1080,1159,2262,0.023,0.91,0.067,0.9986,18369,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0209964204772118,0.398931989067025,
29,28,29,1160,1191,477,0.003,0.939,0.058,0.949,18369,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304162075437047,
30,29,30,1192,1239,1106,0.007,0.95,0.043,0.9859,18369,0,0,0,6,0,2,8,0,5,0,0,0,6,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237162101574317,0.444678940451844,
31,30,31,1240,1271,477,0.003,0.939,0.058,0.949,18369,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304162075437047,
32,31,32,1272,1323,1750,0.024,0.902,0.074,0.9981,18369,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0.381746455992531,0.0238591534995332,
33,32,33,1324,1399,2211,0.02,0.915,0.065,0.9986,18369,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0212371967442515,0.403506738140779,
34,33,34,1400,1447,1106,0.007,0.95,0.043,0.9859,18369,0,0,0,6,0,2,8,0,5,0,0,0,6,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237162101574317,0.444678940451844,
35,34,35,1448,1504,1335,0.023,0.814,0.163,0.9997,18376,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0.355690619270039,0,
36,35,36,1505,1560,1447,0.116,0.798,0.087,-0.9911,18376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,36,37,1561,1630,2006,0.036,0.884,0.079,0.9975,18376,0,0,0,1,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.400885127988645,0,
38,37,38,1631,1672,884,0.052,0.864,0.084,0.9822,18376,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991048827394767,0,
39,38,39,1673,1770,1947,0.036,0.878,0.085,0.9984,18376,0,0,0,0,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0452534393724778,0.429907674038539,
40,39,40,1771,1792,215,0.007,0.882,0.111,0.9686,18376,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13211594344222,
41,40,41,1793,1810,50,0.067,0.933,0,-0.5267,18378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,41,42,1811,1881,447,0.063,0.852,0.085,0.5399,18390,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,42,43,1882,1943,1878,0.055,0.871,0.075,0.9829,18390,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.0680428969891121,0,
44,43,44,1944,1971,472,0.043,0.908,0.049,-0.3625,18390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
